Algoritmo,Classe,Precisão,Recall,F1-Score,Support
Árvore de Decisão,listitem,0.87,0.77,0.82,113
Árvore de Decisão,group,0.71,0.68,0.69,103
Árvore de Decisão,img,0.45,0.78,0.57,142
Árvore de Decisão,presentation,0.46,0.69,0.55,266
Árvore de Decisão,cell,0.62,0.45,0.53,11
SVM,group,0.73,0.5,0.6,103
SVM,presentation,0.31,0.76,0.44,266
SVM,tabpanel,0.5,0.27,0.35,33
SVM,link,0.86,0.22,0.35,27
SVM,button,0.32,0.2,0.24,225
MLP,presentation,0.36,0.68,0.48,266
MLP,tabpanel,0.48,0.3,0.37,33
MLP,region,0.3,0.31,0.3,26
